id,Star_name,Distance,Mass,Radius,,Brown dwarf,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Mass (MJ),Radius (RJ),Discovery year
12,Altair,0017,1.8,1.8,10.5,12,WISEP J004701.06+680352.1 [fr],Cassiopeia,0h 47m 0.38s,68° 3′ 54.3″,,40.0,L7.5p,12.0,1.3,
13,Acrux,0320,18,8.9,"25,000",13,2MASS J00501994-3322402 [de],Sculptor,0h 50m 19.94s,−33° 22′ 40.2″,,34.0,T7,40.0,0.94,
14,Aldebaran,0065,1.5,44,520,14,2MASS J00034227-2822410,Sculptor,0h 55m 39.72s,−28° 22′ 42″,,,M7.5,,,
15,Antares,0600,12,680,"75,000",15,2MASS J00584253-0651239 [de],Cetus,0h 58m 42.53s,−6° 51′ 23.9″,,96.0,L0β,29.0,1.43,
16,Spica,0260,11.43,7.47,"20,512",16,CFBDS J005910.90–011401.3,Cetus,0h 59m 10.83s,−1° 14′ 1.3″,18.08,30.0,T8.5,23.0,,2013.0
17,Pollux,0034,1.9,8.8,43,17,2MASSI J0103320+193536,Pisces,1h 3m 32.03s,19° ′ 35″,,70.0,L6β,52.0,0.98,
18,Fomalhaut,0025,1.9,1.8,16.6,18,SDSSp J010752.33+004156.1 [de],Cetus,1h 7m 52.42s,−0° 41′ 56.3″,,51.0,L8,52.0,0.98,
19,Deneb,"2,600",19,203,"200,000",19,2MASSI J0117474-340325 [de],Sculptor,1h 17m 47.48s,−34° 3′ 25.8″,,163.0,L2:,20.0,1.62,
20,Mimosa,0350,16,8.4,"34,000",20,2MASS J01415823-4633574 [de],Phoenix,1h 41m 58.23s,−46° 33′ 57.4″,,130.0,L0γ,20.0,1.61,
21,Regulus,0077,3.8,3.1,290,21,SDSS J015141.69+124429.6,,1h 51m 41.55s,12° 44′ 30″,,70.0,T1,47.0,0.97,
22,Adhara,0430,12.5,14,"39,000",22,DENIS-P J020529.0−115925A,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,L5.5,,,1997.0
23,Shaula,0700,14.5,8.8,"36,000",23,DENIS-P J020529.0−115925B,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,L8,,,1997.0
24,Castor,0052,2.8,2.4,30,24,DENIS-P J020529.0−115925C,Cetus,2h 5m 29.401s,−11° 59′ 29.67″,,65.0,T0,,,1997.0
